product_id,id,name,brand,category,price,cpu,gpu,ram,storage_type,storage_capacity,display
"68c5583b9869e837e80ce976",1,"Laptop Acer Nitro V 15 ProPanel ANV15-51-56D5 (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",21990000,"Intel® Core™ i5-13420H","GeForce RTX™ 3050 6GB GDDR6","1 x 16GB 5200MHz DDR5","","","15.6"" Full HD (1920 x 1080) IPS, 180Hz, 300 nits, Acer ComfyView, 100% sRGB"
"68c5583b9869e837e80ce977",2,"Laptop Acer Nitro Lite 16 NL16-71G-56WQ (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",21390000,"Intel® Core™ i5-13420H","GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs","16GB (8GB + 8GB Onboard) 4800MHz DDR5","","","16"" WUXGA (1920 x 1200) IPS, 165Hz, Màn hình chống lóa, 300 nits, Acer ComfyView, 45% NTSC"
"68c5583b9869e837e80ce978",3,"Laptop Acer Aspire 7 A715-59G-57TU (i5-12450H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",18990000,"Intel® Core™ i5-12450H","GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs","1 x 16GB 3200MHz DDR4","","","15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 350 nits, Acer ComfyView, 45% NTSC"
"68c5583b9869e837e80ce979",4,"Laptop Acer Nitro V 16 ProPanel ANV16-41-R6ZY (Ryzen 5 8645HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",23590000,"AMD Ryzen™ 5 8645HS","GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs","1 x 16GB 5600MHz DDR5","","","16"" WUXGA (1920 x 1200) IPS, 165Hz, 300 nits, Acer ComfyView, 100% sRGB"
"68c5583b9869e837e80ce97a",5,"Laptop Msi Vector 16 HX AI A2XWIG-062VN (Ultra 9 275HX/ GeForce RTX™ 5080/ 16GB/ 1TB/ Windows 11)","Msi","Gaming",71290000,"Intel® Core™ Ultra 9-275HX","GeForce RTX™ 5080 , 1334 AI TOPS","2 x 8GB 6400MHz DDR5","","","16"" WQXGA (2560 x 1600) 240Hz, 100% DCI-P3"
"68c5583b9869e837e80ce97b",6,"Laptop Acer Swift 14 AI SF14-51-53P9 (Ultra 5-226V/ Onboard graphics/ 16GB/ 1TB/ Windows 11)","Acer","Ultrabook",34090000,"Intel® Core™ Ultra 5-226V","Onboard graphics","16GB Onboard 8533MHz LPDDR5x","","","14"" 2.8K (2880 x 1800) OLED, 90Hz, 400 nits, 100% DCI-P3"
"68c5583b9869e837e80ce97c",7,"Laptop Msi Stealth A16 AI+ A3XVGG - 208VN (Ryzen AI 9 HX 370/ GeForce RTX™ 4070/ 32GB/ 2TB/ Windows 11)","Msi","Gaming",68990000,"AMD Ryzen™ AI 9 HX 370","GeForce RTX™ 4070 8GB GDDR6","32GB Onboard 7500MHz LPDDR5x","","","16"" WQUXGA (3840 x 2400) 120Hz, 100% DCI-P3"
"68c5583b9869e837e80ce97d",8,"Laptop Asus Zenbook S 14 UX5406SA-PV140WS (Ultra 7-258V/ Onboard graphics/ 32GB/ 1TB/ Windows 11 + Office + Microsoft)","Asus","Ultrabook",44990000,"Intel® Core™ Ultra 7 258V (12MB Cache, 1.8 Ghz lên tới 4.8 GHz, 8 nhân, 8 luồng), total có thể lên đến 120 TOPs","&nbsp;Intel® Arc™","1 x 32GB 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)","","","14"" 3K (2880 x 1800) OLED 16:10 120Hz, 500nits HDR, độ phủ màu 100% DCI-P3, Low blue light giảm 70% ánh sáng xanh"
"68c5583b9869e837e80ce97e",9,"Laptop Asus ROG Zephyrus G16 GA605WI-QR090WS (Ryzen AI 9 HX 370/ GeForce RTX™ 4070/ 32GB/ 1TB/ Windows 11 + Office)","Asus","Gaming",77190000,"AMD Ryzen AI 9 HX 370 (36MB Cache, up to 5.1GHz, 12 nhân, 24 luồng)","NVIDIA GeForce RTX 4070 GDDR6 (321 AI TOPs)","32GB (16GB*2) LPDDR5X","","","16"" 2.5K (2560 x 1600) OLED, 240Hz, 16:10, DCI-P3 100%, G-Sync, MUX Switch"
"68c5583b9869e837e80ce97f",10,"Laptop Asus Vivobook 15X Oled M3504YA-L1268W (Ryzen 5 7530U/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Asus","Student",15990000,"AMD Ryzen™ 5 7530U","Onboard graphics","16GB (8GB + 8GB Onboard) DDR4","","","15.6"" Full HD (1920 x 1080) OLED, 60Hz, 600 nits, 100% DCI-P3"
"68c5583b9869e837e80ce980",11,"Laptop Acer Predator Helios Neo 14 PHN14-51-96HG (Ultra 9-185H/ GeForce RTX™ 4070/ 32GB/ 1TB/ Windows 11)","Acer","Gaming",58390000,"Intel® Core™ Ultra 9 185H (16 nhân 22 luồng, 5.1GHz, nhân NPU AI)","NVIDIA® GeForce RTX™ 4070 8GB GDDR6 (DLSS 3.5, Ray Tracing, Max-Q)","Unknown RAM","","","14.5"" WQXGA+ (3072x1920) IPS, 165Hz, 100% sRGB"
"68c5583b9869e837e80ce981",12,"Laptop Asus TUF Gaming A14 FA401WV-RG062WS (Ryzen AI 9 HX 370/ GeForce RTX™ 4060/ 16GB/ 1TB/ Windows 11 + Office)","Asus","Gaming",42390000,"AMD Ryzen™ AI 9 HX 370","NVIDIA® GeForce RTX™ 4060 (2225Mhz @ 100W, 8GB GDDR6)","2 x 8GB Onbard 7500MHz LPDDR5x","","","14-inch, 2.5K (2560 x 1600), 16:10, IPS, chống chói, sRGB 100%, 165Hz, G-Sync, MUX Switch"
"68c5583b9869e837e80ce982",13,"Laptop Acer Gaming Aspire 7 A715-76G-5806 (i5-12450H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",17490000,"Intel® Core™ i5-12450H","GeForce RTX™ 3050 4GB GDDR6, 143 AI TOPs","2 x 8GB 3200MHz DDR4","","","15.6"" Full HD (1920 x 1080) IPS, 144Hz, Acer ComfyView,"
"68c5583b9869e837e80ce983",14,"Laptop Asus Vivobook S 16 OLED S5606MA-MX051W (Ultra 7-155H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Asus","Student",25190000,"Intel® Core™ Ultra 7 155H (16 nhân, 22 luồng, 1.4 GHz-4.8 GHz, 24MB Cache)","Intel® Arc™","16GB LPDDR5X","","","16 inch OLED 3.2K (3200 x 2000), 120Hz, 600 nits, 100% DCI-P3, True Black HDR 600, 1.07 tỷ màu"
"68c5583b9869e837e80ce984",15,"Laptop HP Victus 15-fb1022AX - 94F19PA (Ryzen 5 7535HS/ GeForce RTX™ 2050/ 16GB/ 512GB/ Windows 11)","HP","Gaming",17490000,"AMD Ryzen™ 5 7535HS","GeForce RTX™ 2050 4GB GDDR6, 104 AI TOPs","2 x 8GB 4800MHz DDR5","","","15.6"" Full HD (1920 x 1080) IPS, 144Hz, 250 nits, 45% NTSC"
"68c5583b9869e837e80ce985",16,"Laptop Msi Stealth 18 Mercedes AMG A1VHG-080VN (Ultra 9-185H/ GeForce RTX™ 4080/ 64GB/ 2TB/ Windows 11)","Msi","Gaming",84990000,"Intel® Core™ Ultra 9-185H","GeForce RTX™ 4080 12GB GDDR6, 542 AI TOPS","2 x 32GB 5600MHz DDR5","","","18"" WQUXGA (3840 x 2400) IPS, 120Hz, 100% DCI-P3"
"68c5583b9869e837e80ce986",17,"Laptop Msi Stealth 16 Mercedes-AMG Motorsport A13VG -289VN (i9-13900H/ GeForce RTX™ 4070/ 32GB/ 2TB/ Windows 11)","Msi","Gaming",68990000,"Intel® Core™ i9-13900H","GeForce RTX™ 4070 8GB GDDR6, 321 AI TOPs","2 x 16GB 5200MHz DDR5","","","16"" WQUXGA (3840 x 2400) OLED, 60Hz, 100% sRGB"
"68c5583b9869e837e80ce987",18,"Laptop Lenovo LOQ 15AHP10 - 83JG0047VN (Ryzen 7 250/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11)","HP","Gaming",31290000,"AMD Ryzen™ 7 250","GeForce RTX™ 5050 8GB GDDR6, 440 AI TOPs","1 x 16GB 5600MHz DDR5","","","15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 300 nits, G-Sync, 100% sRGB"
"68c5583b9869e837e80ce988",19,"Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NX0037VN (Ultra 5-225H/ Onboard graphics/ 32GB/ 512GB/ Windows 11 Pro)","Lenovo","Business",47990000,"Intel® Core™ Ultra 5-225H","Onboard graphics","32GB Onboard 8400MHz LPDDR5x","","","14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 500 nits, 100% sRGB"
"68c5583b9869e837e80ce989",20,"Laptop Lenovo ThinkPad T14s Gen 6 - 21R10008VN (Ultra 7-255H/ Onboard graphics/ 32GB/ 1TB/ Windows® 11 Pro)","Lenovo","Business",48990000,"Intel® Core™ Ultra 7-255H","Onboard graphics","32GB Onboard 7467MHz LPDDR5x","","","14"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3"
"68c5583b9869e837e80ce98a",21,"Laptop Lenovo ThinkBook 16 Gen 8 - 21SK0073VN (Ultra 7-255H/ Onboard graphics/ 16GB/ 1TB/ Windows 11)","Lenovo","Student",28990000,"Intel® Core™ Ultra 7-255H","Onboard graphics","2 x 8GB 5600MHz DDR5","","","16"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC"
"68c5583b9869e837e80ce98b",22,"Laptop Acer Gaming Nitro V ProPanel ANV15-52-72BM (i7-13620H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",30990000,"Intel® Core™ i7-13620H","GeForce RTX™ 5050 8GB GDDR6, 440 AI TOPs","1 x 16GB 3200MHz DDR4","","","15.6"" HD (1920 x 1080) IPS, 180Hz, Màn hình chống lóa, 300 nits, Acer ComfyView, 100% sRGB"
"68c5583b9869e837e80ce98c",23,"Laptop Acer Aspire Lite 16 AI AL16-71P-5674 (Ultra 5-125H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Acer","Student",16990000,"Intel® Core™ Ultra 5-125H","Onboard graphics","2 x 8GB 5600MHz DDR5","","","16"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, Acer ComfyView, 45% NTSC"
"68c5583b9869e837e80ce98d",24,"Laptop Asus Vivobook 15 X1502VA-BQ885W (i5-13420H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Asus","Student",14490000,"Intel® Core™ i5-13420H","Onboard graphics","16GB (8GB + 8GB Onboard) DDR4","","","15.6"" Full HD (1920 x 1080) IPS, 60Hz, Màn hình chống lóa, 250 nits, 45% NTSC"
"68c5583b9869e837e80ce98e",25,"Laptop Dell Inspiron 3530 - N5I7421W1 (i7-1355U/ Onboard graphics/ 16GB/ 512GB/ Windows 11 + Office + Microsoft)","Dell","Student",18990000,"Intel® Core™ i7-1355U","Onboard graphics","2 x 8GB 2666MHz DDR4","","","15.6"" Full HD (1920 x 1080) WVA, 120Hz, Màn hình chống lóa, 250 nits, 45% NTSC"
"68c5583b9869e837e80ce98f",26,"Laptop Asus Vivobook Go 14 E1404FA-EB482W (Ryzen 5 7520U/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Asus","Student",11490000,"AMD Ryzen™ 5 7520U","Onboard graphics","16GB Onboard LPDDR5","","","14"" Full HD (1920 x 1080) IPS, 60Hz,"
"68c5583b9869e837e80ce990",27,"Laptop Asus Vivobook S16 S3607CA-SH082WS (Ultra 5-225H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Asus","Student",23990000,"Intel® Core™ Ultra 5-225H","Onboard graphics","16GB Onboard LPDDR5","","","16"" WUXGA (1920 x 1200) OLED, 60Hz, Màn hình gương,"
"68c5583b9869e837e80ce991",28,"Laptop Asus TUF Gaming A14 FA401KM-RG010WS (Ryzen AI 7 350/ GeForce RTX™ 5060/ 32GB/ 1TB/ Windows 11 + Office + Microsoft)","Asus","Gaming",42490000,"AMD Ryzen™ AI 7 350","GeForce RTX™ 5060 8GB GDDR7, 572 AI TOPs","2 x 16GB Onbard 7500MHz LPDDR5x","","","14"" WQXGA (2560 x 1600) IPS, 165Hz, Màn hình chống lóa, 400 nits, G-Sync, 100% sRGB"
"68c5583b9869e837e80ce992",29,"Laptop Asus Vivobook 15 OLED A1505VA-MA505W (Core i5-13420H/ 16GB/ 512GB/ Windows 11)","Asus","Student",16990000,"Intel® Core™ i5-13420H","Onboard graphics","16GB (8GB + 8GB Onboard) DDR4","","","15.6"" 2.8K (2880 x 1620) OLED, 60Hz, Màn hình gương, 600 nits, 100% DCI-P3"
"68c5583b9869e837e80ce993",30,"Laptop LG Gram Book 15U50T-G.AV56A5 (i5-1334U/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","LG","Ultrabook",14990000,"Intel® Core™ i5-1334U","Onboard graphics&nbsp;","1 x 16GB 3200MHz DDR4","","","15.6"" Full HD (1920 x 1080) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC"
"68c5583b9869e837e80ce994",31,"Laptop Lenovo Legion 5 15IRX10 - 83LY004GVN (i7-14700HX/ GeForce RTX™ 5070/ 24GB/ 1TB/ Windows 11 + Office)","Lenovo","Gaming",45990000,"Intel® Core™ i7-14700HX","GeForce RTX™ 5070 8GB GDDR7, 798 AI TOPs","2 x 12GB 4800MHz DDR5","","","15.1"" WQXGA (2560 x 1600) OLED, 165Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3"
"68c5583b9869e837e80ce995",32,"Laptop Asus Zenbook 14 UM3406KA-PP113WS (Ryzen AI 7 350/ Onboard graphics/ 16GB/ 512GB/ Windows + Microsoft + Office)","Asus","Ultrabook",28990000,"AMD Ryzen™ AI 7 350","Onboard graphics","16GB Onboard LPDDR5x","","","14"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình gương, 400 nits, 100% DCI-P3"
"68c5583b9869e837e80ce996",33,"Laptop Msi Crosshair 16 HX AI D2XWGKG-034VN (Ultra 7-255HX/ GeForce RTX™ 5070/ 16GB/ 1TB/ Windows 11)","Msi","Gaming",45990000,"Intel® Core™ Ultra 7-255HX","GeForce RTX™ 5070 8GB GDDR7, 798 AI TOPs","2 x 8GB 5600MHz DDR5","","","16"" WQXGA (2560 x 1600) IPS, 240Hz, Màn hình chống lóa, 100% DCI-P3"
"68c5583b9869e837e80ce997",34,"Laptop HP Probook 440 G11 - A74BMPT (Ultra 7-155H/ Onboard graphics/ 16GB/ 512GB/ Windows 11 Pro)","HP","Business",29890000,"Intel® Core™ Ultra 7-155H","Onboard graphics","1 x 16GB 5600MHz DDR5","","","14"" WUXGA (1920 x 1200) IPS, 60Hz,"
"68c5583b9869e837e80ce998",35,"Laptop Msi Crosshair 16 HX AI D2XWFKG-035VN (Ultra 9-275HX/ GeForce RTX™ 5060/ 32GB/ 1TB/ Windows 11)","Msi","Gaming",43990000,"Intel® Core™ Ultra 9-275HX","GeForce RTX™ 5060 8GB GDDR7, 572 AI TOPs","2 x 16GB 5600MHz DDR5","","","16"" WQXGA (2560 x 1600) IPS, 240Hz, Màn hình chống lóa, 100% DCI-P3"
"68c5583b9869e837e80ce999",36,"Laptop HP Probook 440 G11 - A74BBPT (Ultra 5-125H/ Onboard graphics/ 16GB/ 512GB/ Windows 11 Pro)","HP","Business",25790000,"Intel® Core™ Ultra 5-125H","Onboard graphics","1 x 16GB 5600MHz DDR5","","","14"" WUXGA (1920 x 1200) IPS, 60Hz,"
"68c5583b9869e837e80ce99a",37,"Laptop HP Probook 440 G11 - A74B9PT (Ultra 5-125H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","HP","Business",22690000,"Intel® Core™ Ultra 5-125H","Onboard graphics","1 x 16GB 5600MHz DDR5","","","14"" WUXGA (1920 x 1200) IPS, 60Hz,"
"68c5583b9869e837e80ce99b",38,"Laptop Dell Inspiron 5441 - 5MNK1 (Snapdragon X1P 64 100/ Onboard graphics/ 16GB/ 512GB/ Windows 11 + Office)","Dell","Student",26490000,"Snapdragon X1P 64 100","Onboard graphics","16GB Onboard 8448MHz LPDDR5x","","","14"" WUXGA (1920 x 1200) WVA,"
"68c5583b9869e837e80ce99c",39,"Laptop Lenovo ThinkPad CX9-14 Gen 1 - 21QA006LVN (Ultra 7-258V/ Onboard/ 32GB/ 1TB/ Windows 11 Pro)","Lenovo","Business",57090000,"Intel® Core™ Ultra 7-258V","Onboard","32GB Onboard 8533MHz LPDDR5x","","","14"" 2.8K (2880 x 1800) OLED, 120Hz, 500 nits, 100% DCI-P3"
"68c5583b9869e837e80ce99d",40,"Laptop Lenovo ThinkPad CX9-14 Gen 1 - 21QA006KVN (Ultra 7-258V/ Onboard/ 32GB/ 1TB/ Windows 11 Pro)","Lenovo","Business",52990000,"Intel® Core™ Ultra 7-258V","Onboard","32GB Onboard 8533MHz LPDDR5x","","","14"" WUXGA (1920 x 1200) OLED, 60Hz, 400 nits, 100% DCI-P3"
"68c5583b9869e837e80ce99e",41,"Laptop Lenovo ThinkBook 14 G8 IAL - 21SJ0070VN (Ultra 5-225H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Lenovo","Student",22990000,"Intel® Core™ Ultra 5-225H","Onboard graphics","2 x 8GB 5600MHz DDR5","","","14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC"
"68c5583b9869e837e80ce99f",42,"Laptop Asus Vivobook 15 OLED A1505VA-L1688W (i7-13620H/ 16GB/ 512GB/ Windows 11)","Asus","Student",18990000,"Intel® Core™ i7-13620H","Onboard graphics","16GB (8GB + 8GB Onboard) DDR4","","","15.6"" Full HD (1920 x 1080) OLED, 60Hz, Màn hình gương, 600 nits, 100% DCI-P3"
"68c5583b9869e837e80ce9a0",43,"Laptop Acer Aspire 5 A515-58P-702Q (i7-13620H/ Onboard graphics/ 16GB/ 512GB/ Windows 11)","Acer","Student",15990000,"Intel® Core™ i7-13620H","Onboard graphics","16GB Onboard 5200MHz LPDDR5","","","15.6"" Full HD (1920 x 1080) IPS, 60Hz, 250 nits, Acer ComfyView, 45% NTSC"
"68c5583b9869e837e80ce9a1",44,"Laptop Asus TUF Gaming F16 FX608JHR-RV037W (i7-14650HX/ GeForce RTX™ 5050/ 16GB/ 1TB/ Windows 11)","Asus","Gaming",33990000,"Intel® Core™ i7-14650HX","GeForce RTX™ 5050 8GB GDDR7, 440 AI TOPs","1 x 16GB 6400MHz DDR5","","","16"" WUXGA (1920 x 1200) IPS, 165Hz, Màn hình chống lóa, 300 nits, G-Sync, 100% sRGB"
"68c5583b9869e837e80ce9a2",45,"Laptop Acer Nitro V 15 ProPanel ANV15-51-76B9 (Core i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11)","Acer","Gaming",26990000,"Intel® Core™ i7-13620H","GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs","2 x 8GB 5200MHz DDR5","","","15.6"" Full HD (1920 x 1080) IPS, 180Hz, Màn hình chống lóa, 300 nits, Acer ComfyView, 100% sRGB"
"68c5583b9869e837e80ce9a3",46,"Laptop Asus Gaming V16 V3607VM-RP044W (Core 7 240H/ GeForce RTX™ 5060/ 16GB/ 512GB/ Windows 11)","Asus","Gaming",35590000,"Intel® Core™ 7 240H","GeForce RTX™ 5060 8GB GDDR7, 572 AI TOPs","1 x 16GB DDR5","","","16"" WUXGA (1920 x 1200) 144Hz, Màn hình chống lóa, 300 nits, 45% NTSC"
"68c5583b9869e837e80ce9a4",47,"Laptop Msi Crosshair 16 HX AI D2XWFKG-070VN (Ultra 9-275HX/ GeForce RTX™ 5060/ 16GB/ 1TB/ Windows 11)","Msi","Gaming",41990000,"Intel® Core™ Ultra 9-275HX","GeForce RTX™ 5060 8GB GDDR7, 572 AI TOPs","2 x 8GB 6400MHz DDR5","","","16"" WQXGA (2560 x 1600) IPS, 240Hz, 100% DCI-P3"
