interaction_id,user_id,product_id,session_id,interaction_type,implicit_weight,duration_seconds,rating_score,source,timestamp
"int_1761068220358_v12gln0sv","68f7c48c8bb2ae14892d2436","68ca54d976a72c2aed452ff6","","view",2,180,,"search","2025-10-21T17:37:00.366Z"
"int_1761068220362_b0iiptr9h","68f7c48c8bb2ae14892d2436","68ca54d976a72c2aed452e6c","","purchase",10,0,,"checkout","2025-10-21T17:37:00.368Z"
"int_1761068220360_liatkvqor","68f7c48c8bb2ae14892d2436","68ca54d976a72c2aed452f94","","view",1,60,,"recommendation","2025-10-21T17:37:00.368Z"
"int_1761068220362_7rd6f0igv","68f7c48c8bb2ae14892d2436","68ca54d976a72c2aed452fa2","","rating",8,0,5,"feedback_form","2025-10-21T17:37:00.368Z"
"int_1786983320787_7fz4cehho","6a833391cee036cbf121a825","68ca54d976a72c2aed452f44","sess_21a825_0_1786983320786","view",1,20,,"category_browse","2026-07-04T17:06:21.477Z"
"int_1786983320933_xfcigve13","6a833391cee036cbf121a825","68ca54d976a72c2aed452ee9","sess_21a825_0_1786983320786","view",1,198,,"search","2026-07-04T17:07:30.615Z"
"int_1786983320866_e1zqh2acm","6a833391cee036cbf121a825","68ca54d976a72c2aed452f32","sess_21a825_0_1786983320786","view",1,40,,"category_browse","2026-07-04T17:08:22.474Z"
"int_1786983321002_90hqhyupz","6a833391cee036cbf121a825","68ca54d976a72c2aed452ee9","sess_21a825_0_1786983320786","add_to_cart",5,0,,"product_detail","2026-07-04T17:09:56.271Z"
"int_1786983321077_6pruj96ra","6a833391cee036cbf121a825","68ca54d976a72c2aed452ee8","sess_21a825_1_1786983321077","view",1,111,,"search","2026-07-06T17:46:11.356Z"
"int_1786983321159_9l7pmhkpt","6a833391cee036cbf121a825","68ca54d976a72c2aed452ee8","sess_21a825_1_1786983321077","like",3,0,,"product_detail","2026-07-06T17:46:23.492Z"
"int_1786983321236_ly72ww265","6a833391cee036cbf121a825","68ca54d976a72c2aed452f02","sess_21a825_1_1786983321077","view",1,14,,"category_browse","2026-07-06T17:47:35.711Z"
"int_1786983321304_a5grouz3s","6a833391cee036cbf121a825","68ca54d976a72c2aed452ec7","sess_21a825_2_1786983321304","view",1,13,,"category_browse","2026-07-07T17:54:50.907Z"
"int_1786983334583_52dok4v6u","6a833392cee036cbf121a829","68ca54d976a72c2aed452eaa","sess_21a829_0_1786983334513","view",1,39,,"category_browse","2026-07-05T14:24:15.642Z"
"int_1786983334873_xn0u0xz7r","6a833392cee036cbf121a829","68ca54d976a72c2aed452edd","sess_21a829_0_1786983334513","view",1,42,,"category_browse","2026-07-05T14:24:21.913Z"
"int_1786983334658_mp8eaa7oh","6a833392cee036cbf121a829","68ca54d976a72c2aed452e75","sess_21a829_0_1786983334513","view",1,21,,"category_browse","2026-07-05T14:24:56.363Z"
"int_1786983334729_3gyxm8hts","6a833392cee036cbf121a829","68ca54d976a72c2aed452ff2","sess_21a829_0_1786983334513","view",1,134,,"search","2026-07-05T14:25:16.360Z"
"int_1786983334957_q8rwaxvvu","6a833392cee036cbf121a829","68ca54d976a72c2aed452f41","sess_21a829_0_1786983334513","view",1,25,,"category_browse","2026-07-05T14:25:42.810Z"
"int_1786983334514_l1jn40zgb","6a833392cee036cbf121a829","68ca54d976a72c2aed452e73","sess_21a829_0_1786983334513","view",1,27,,"category_browse","2026-07-05T14:26:33.885Z"
"int_1786983335170_yr99zgj0r","6a833392cee036cbf121a829","68ca54d976a72c2aed452ef9","sess_21a829_1_1786983335028","view",1,12,,"category_browse","2026-07-07T14:25:59.255Z"
"int_1786983335028_c35bdiewo","6a833392cee036cbf121a829","68ca54d976a72c2aed452e75","sess_21a829_1_1786983335028","view",1,39,,"category_browse","2026-07-07T14:26:03.504Z"
"int_1786983335100_qh1198q70","6a833392cee036cbf121a829","68ca54d976a72c2aed452e9b","sess_21a829_1_1786983335028","view",1,24,,"category_browse","2026-07-07T14:26:36.838Z"
"int_1786983335244_6jj617r6r","6a833392cee036cbf121a829","68ca54d976a72c2aed452e85","sess_21a829_1_1786983335028","view",1,40,,"category_browse","2026-07-07T14:26:45.060Z"
"int_1786983335382_fz02q10rj","6a833392cee036cbf121a829","68ca54d976a72c2aed452e8b","sess_21a829_1_1786983335028","view",1,35,,"category_browse","2026-07-07T14:28:33.626Z"
"int_1786983335312_va734umps","6a833392cee036cbf121a829","68ca54d976a72c2aed452e88","sess_21a829_1_1786983335028","view",1,27,,"category_browse","2026-07-07T14:28:35.538Z"
"int_1786983335656_svot0agaj","6a833392cee036cbf121a829","68ca54d976a72c2aed452f17","sess_21a829_2_1786983335450","view",1,33,,"category_browse","2026-07-09T14:34:19.219Z"
"int_1786983335451_8ob90uocn","6a833392cee036cbf121a829","68ca54d976a72c2aed452e88","sess_21a829_2_1786983335450","view",1,31,,"category_browse","2026-07-09T14:34:21.022Z"
"int_1786983335519_5fvqpotg8","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_2_1786983335450","view",1,100,4,"search","2026-07-09T14:35:34.055Z"
