interaction_id,user_id,product_id,session_id,interaction_type,implicit_weight,duration_seconds,timestamp
"int_1790176426922_63mzh658i","6a27ed55b6d7638a2acaa654","68c5583b9869e837e80cea84","sess_explore_1790176426922_gfv30t","view",1,62,"2026-08-09T17:20:18.497Z"
"int_1790176426420_pqvlxhtem","6a833392cee036cbf121a82b","68c5583b9869e837e80ce9cb","sess_1790176426419_4acv8oe","view",1,110,"2026-08-09T18:26:19.279Z"
"int_1790176426420_5w07qrb5n","6a833392cee036cbf121a82b","68c5583b9869e837e80ce9b2","sess_1790176426419_4acv8oe","view",1,76,"2026-08-09T18:26:19.279Z"
"int_1790176426420_0u9riov79","6a833392cee036cbf121a82b","68c5583b9869e837e80ce9d7","sess_1790176426419_4acv8oe","view",1,48,"2026-08-09T18:26:19.279Z"
"int_1790176426420_0w15szkmu","6a833392cee036cbf121a82b","68c5583b9869e837e80ce9cb","sess_1790176426419_4acv8oe","like",3,0,"2026-08-09T18:26:34.279Z"
"int_1790176426420_pk9e3mrdm","6a833392cee036cbf121a82b","68c5583b9869e837e80ce9d7","sess_1790176426419_4acv8oe","like",3,0,"2026-08-09T18:26:34.279Z"
"int_1790176426925_5djhricv0","6a833395cee036cbf121a85d","68c5583b9869e837e80ceae9","sess_explore_1790176426925_gk4754","search_click",2,43,"2026-08-09T19:00:48.382Z"
"int_1790176426925_be2tgtg7w","6a833395cee036cbf121a85d","68c5583b9869e837e80ceae9","sess_explore_1790176426925_gk4754","like",3,0,"2026-08-09T19:00:58.382Z"
"int_1790176426921_xvo5z5f4r","6a833393cee036cbf121a841","68c5583b9869e837e80cea44","sess_explore_1790176426921_651bsc","view",1,32,"2026-08-09T19:26:08.276Z"
"int_1790176426921_l6o4d2wmx","6a833393cee036cbf121a841","68c5583b9869e837e80cea44","sess_explore_1790176426921_651bsc","like",3,0,"2026-08-09T19:26:18.276Z"
"int_1790176426920_80uhlf6ii","6a833394cee036cbf121a84d","68c5583b9869e837e80cea11","sess_explore_1790176426920_px3hoo","search_click",2,39,"2026-08-09T19:55:26.895Z"
"int_1790176426759_gdike17va","6a833396cee036cbf121a86d","68c5583b9869e837e80ce97c","sess_1790176426755_8sihzma","view",1,66,"2026-08-09T21:00:14.988Z"
"int_1790176426759_hqosk2gjt","6a833396cee036cbf121a86d","68c5583b9869e837e80cea7f","sess_1790176426755_8sihzma","view",1,46,"2026-08-09T21:00:14.988Z"
"int_1790176426759_b5y8wtslu","6a833396cee036cbf121a86d","68c5583b9869e837e80ce9b5","sess_1790176426755_8sihzma","view",1,28,"2026-08-09T21:00:14.988Z"
"int_1790176426759_mzupa9mjy","6a833396cee036cbf121a86d","68c5583b9869e837e80cea3e","sess_1790176426755_8sihzma","view",1,27,"2026-08-09T21:00:14.988Z"
"int_1790176426759_98z0lua3g","6a833396cee036cbf121a86d","68c5583b9869e837e80cea7f","sess_1790176426755_8sihzma","like",3,0,"2026-08-09T21:00:29.988Z"
"int_1790176426759_crvaz4cy5","6a833396cee036cbf121a86d","68c5583b9869e837e80ce9b5","sess_1790176426755_8sihzma","add_to_cart",5,0,"2026-08-09T21:00:49.988Z"
"int_1790176426925_boqqcx1p3","6a833395cee036cbf121a855","68c5583b9869e837e80ceaff","sess_explore_1790176426925_9h9bzj","view",1,74,"2026-08-09T21:53:14.887Z"
"int_1790176426786_r1olq8n8b","6a833397cee036cbf121a871","68c5583b9869e837e80ce9e0","sess_1790176426783_hi4v869","view",1,21,"2026-08-09T22:10:30.505Z"
"int_1790176426786_3ru30pg0c","6a833397cee036cbf121a871","68c5583b9869e837e80ce9ab","sess_1790176426783_hi4v869","view",1,85,"2026-08-09T22:10:30.505Z"
"int_1790176426786_9lfleo519","6a833397cee036cbf121a871","68c5583b9869e837e80ce9df","sess_1790176426783_hi4v869","view",1,67,"2026-08-09T22:10:30.505Z"
"int_1790176426786_0yqbjoh71","6a833397cee036cbf121a871","68c5583b9869e837e80ce9e2","sess_1790176426783_hi4v869","view",1,73,"2026-08-09T22:10:30.505Z"
"int_1790176426786_utywpmvaf","6a833397cee036cbf121a871","68c5583b9869e837e80ce9e0","sess_1790176426783_hi4v869","like",3,0,"2026-08-09T22:10:45.505Z"
"int_1790176426786_gcrcomm53","6a833397cee036cbf121a871","68c5583b9869e837e80ce9e2","sess_1790176426783_hi4v869","like",3,0,"2026-08-09T22:10:45.505Z"
"int_1790176426786_4jkrh2gmo","6a833397cee036cbf121a871","68c5583b9869e837e80ce9e0","sess_1790176426783_hi4v869","add_to_cart",5,0,"2026-08-09T22:11:05.505Z"
"int_1790176426919_33qilj2ki","6a833397cee036cbf121a871","68c5583b9869e837e80ce9b3","sess_explore_1790176426919_8d3p4b","view",1,30,"2026-08-10T02:12:29.710Z"
"int_1790176426919_ot69i416g","6a833397cee036cbf121a871","68c5583b9869e837e80ce9b3","sess_explore_1790176426919_8d3p4b","like",3,0,"2026-08-10T02:12:39.710Z"
